2026-07-19T19:37:52-05:00
Running ./build/ejecutable_experimentos
Run on (12 X 4400 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 1280 KiB (x6)
  L3 Unified 12288 KiB (x1)
Load Average: 1.00, 1.28, 1.17
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparaciones","Intercambios","RAM_Auxiliar_KB"
"BM_BubbleSort/1000/3/repeats:30",200,3.35502e+06,3.34994e+06,ns,,,,,,499500,61076,0
"BM_BubbleSort/1000/3/repeats:30",200,3.34303e+06,3.33775e+06,ns,,,,,,499500,60812,0
"BM_BubbleSort/1000/3/repeats:30",200,3.33534e+06,3.33081e+06,ns,,,,,,499500,72964,0
"BM_BubbleSort/1000/3/repeats:30",200,3.3316e+06,3.32757e+06,ns,,,,,,499500,61944,0
"BM_BubbleSort/1000/3/repeats:30",200,3.33515e+06,3.32805e+06,ns,,,,,,499500,57920,0
"BM_BubbleSort/1000/3/repeats:30",200,3.328e+06,3.32327e+06,ns,,,,,,499500,68376,0
"BM_BubbleSort/1000/3/repeats:30",200,3.36408e+06,3.35886e+06,ns,,,,,,499500,64766,0
"BM_BubbleSort/1000/3/repeats:30",200,3.32838e+06,3.32368e+06,ns,,,,,,499500,59986,0
"BM_BubbleSort/1000/3/repeats:30",200,3.32451e+06,3.31981e+06,ns,,,,,,499500,55152,0
"BM_BubbleSort/1000/3/repeats:30",200,3.35652e+06,3.35129e+06,ns,,,,,,499500,63950,0
"BM_BubbleSort/1000/3/repeats:30_mean",30,3.38483e+06,3.37631e+06,ns,,,,,,499500,62820.7,0
"BM_BubbleSort/1000/3/repeats:30_median",30,3.3624e+06,3.35693e+06,ns,,,,,,499500,61985,0
"BM_BubbleSort/1000/3/repeats:30_stddev",30,64607.2,59469.7,ns,,,,,,0,4161.8,0
"BM_BubbleSort/1000/3/repeats:30_cv",30,636242,587126,ns,,,,,,0,0.0662489,-nan
"BM_BubbleSort/5000/0/repeats:30",4,1.43598e+08,1.43342e+08,ns,,,,,,1.24975e+07,6.27301e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.44601e+08,1.44311e+08,ns,,,,,,1.24975e+07,6.12432e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.45995e+08,1.4572e+08,ns,,,,,,1.24975e+07,6.30118e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.48157e+08,1.47794e+08,ns,,,,,,1.24975e+07,6.21377e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.41861e+08,1.41658e+08,ns,,,,,,1.24975e+07,6.31078e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.43603e+08,1.43357e+08,ns,,,,,,1.24975e+07,6.2291e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.42888e+08,1.4262e+08,ns,,,,,,1.24975e+07,6.27102e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.42707e+08,1.4234e+08,ns,,,,,,1.24975e+07,6.19852e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.41911e+08,1.41722e+08,ns,,,,,,1.24975e+07,6.28473e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.42112e+08,1.41901e+08,ns,,,,,,1.24975e+07,6.24622e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.42351e+08,1.42133e+08,ns,,,,,,1.24975e+07,6.25142e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.41875e+08,1.41684e+08,ns,,,,,,1.24975e+07,6.20196e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.42128e+08,1.4192e+08,ns,,,,,,1.24975e+07,6.3013e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.42563e+08,1.42262e+08,ns,,,,,,1.24975e+07,6.24272e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.43405e+08,1.4315e+08,ns,,,,,,1.24975e+07,6.18287e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.43229e+08,1.42804e+08,ns,,,,,,1.24975e+07,6.16082e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.40836e+08,1.40656e+08,ns,,,,,,1.24975e+07,6.2334e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.41803e+08,1.41609e+08,ns,,,,,,1.24975e+07,6.2262e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.43908e+08,1.43513e+08,ns,,,,,,1.24975e+07,6.36764e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.4175e+08,1.41567e+08,ns,,,,,,1.24975e+07,6.22553e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.42437e+08,1.42271e+08,ns,,,,,,1.24975e+07,6.23544e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.42077e+08,1.41907e+08,ns,,,,,,1.24975e+07,6.33631e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.413e+08,1.41009e+08,ns,,,,,,1.24975e+07,6.22158e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.41785e+08,1.41623e+08,ns,,,,,,1.24975e+07,6.25109e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.41428e+08,1.41271e+08,ns,,,,,,1.24975e+07,6.33832e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.43132e+08,1.42883e+08,ns,,,,,,1.24975e+07,6.37089e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.42176e+08,1.42e+08,ns,,,,,,1.24975e+07,6.2537e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.40536e+08,1.4039e+08,ns,,,,,,1.24975e+07,6.26128e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.44039e+08,1.43803e+08,ns,,,,,,1.24975e+07,6.30339e+06,0
"BM_BubbleSort/5000/0/repeats:30",4,1.41917e+08,1.41747e+08,ns,,,,,,1.24975e+07,6.30153e+06,0
"BM_BubbleSort/5000/0/repeats:30_mean",30,1.42737e+08,1.42499e+08,ns,,,,,,1.24975e+07,6.25733e+06,0
"BM_BubbleSort/5000/0/repeats:30_median",30,1.42264e+08,1.42067e+08,ns,,,,,,1.24975e+07,6.25125e+06,0
"BM_BubbleSort/5000/0/repeats:30_stddev",30,1.53732e+06,1.49309e+06,ns,,,,,,0,57641.5,0
"BM_BubbleSort/5000/0/repeats:30_cv",30,359009,349262,ns,,,,,,0,0.00921184,-nan
"BM_BubbleSort/5000/1/repeats:30",11,5.98411e+07,5.97401e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,6.01301e+07,6.00284e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.95489e+07,5.94588e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.89268e+07,5.88585e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.85259e+07,5.84668e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.93914e+07,5.92997e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.84937e+07,5.84261e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.87334e+07,5.86695e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.97015e+07,5.95942e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,6.14887e+07,6.1339e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.95148e+07,5.94374e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.93308e+07,5.92355e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.94371e+07,5.93499e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.91526e+07,5.90773e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.89725e+07,5.88916e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.92761e+07,5.9205e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.91287e+07,5.907e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.87083e+07,5.86082e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.97321e+07,5.96569e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.95278e+07,5.94483e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,6.00252e+07,5.9939e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.87942e+07,5.87183e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.86682e+07,5.86006e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.89077e+07,5.88348e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.94676e+07,5.93945e+07,ns,,,,,,1.24975e+07,0,0
